"Year","Week","Percent of Deaths Due to Pneumonia and Influenza","Expected","Threshold","All Deaths","Pneumonia Deaths","Influenza Deaths"
2015,46,6.5045358039,6.81068,7.19657,51810,3357,13
2015,47,6.5079334253,6.92506,7.31069,51491,3337,14
2015,48,6.689971765,7.03731,7.42268,52063,3461,22
2015,49,6.6179206668,7.14576,7.53087,53748,3537,20
2015,50,6.7116918897,7.24878,7.63363,52267,3482,26
2015,51,6.6724306443,7.34485,7.72944,53204,3535,15
2015,52,7.5190114068,7.43252,7.81684,52600,3924,31
2016,1,7.6553738108,7.51048,7.89454,55817,4241,32
2016,2,7.7613982036,7.57756,7.96135,55557,4282,30
2016,3,7.3963371556,7.63275,8.01628,55203,4047,36
2016,4,7.4856218548,7.67521,8.05847,55640,4115,50
2016,5,7.5172826738,7.70428,8.08727,55113,4082,61
2016,6,7.3619078544,7.71952,8.10224,55434,3989,92
2016,7,7.4796979627,7.72065,8.1031,56152,4051,149
2016,8,8.0047118521,7.70763,8.08981,55180,4230,187
2016,9,8.0627560421,7.68062,8.06252,55899,4250,257
2016,10,8.1479372086,7.63995,8.02158,56186,4284,294
2016,11,8.2542242422,7.58619,7.96754,54566,4153,351
2016,12,8.1912757803,7.52007,7.90115,54790,4193,295
2016,13,7.7492349068,7.44252,7.82332,53915,3896,282
2016,14,7.7583495235,7.3546,7.73512,54045,3943,250
2016,15,7.6420969944,7.25756,7.6378,53467,3890,196
2016,16,7.212361898,7.15275,7.53271,53131,3684,148
2016,17,6.9074368174,7.04164,7.42132,51003,3396,127
2016,18,6.8140574082,6.92579,7.30518,51247,3401,91
2016,19,6.4987543891,6.80683,7.18593,50979,3239,74
2016,20,6.5839297397,6.68641,7.06524,50441,3287,34
2016,21,6.3947842974,6.56624,6.94477,50463,3197,30
2016,22,6.1201899855,6.44798,6.82623,49688,3024,17
2016,23,6.3912938913,6.33329,6.71125,49896,3172,17
2016,24,5.8883655677,6.22375,6.60142,49895,2920,18
2016,25,5.8203298254,6.12089,6.49828,49602,2875,12
2016,26,5.8795132254,6.02613,6.40322,49715,2913,10
2016,27,5.8828266559,5.94075,6.31756,49670,2912,10
2016,28,5.9079639596,5.86593,6.24244,49611,2925,6
2016,29,5.6268529424,5.80266,6.17888,49246,2766,5
2016,30,5.652287687,5.75179,6.12771,49679,2803,5
2016,31,5.7501465327,5.71396,6.08959,49477,2843,2
2016,32,5.6904354822,5.68964,6.06497,49715,2827,2
2016,33,5.7619697943,5.67909,6.05413,49792,2864,5
2016,34,5.7242731002,5.68239,6.05713,49491,2827,6
2016,35,5.7991484897,5.6994,6.07385,49559,2869,5
2016,36,5.7662337662,5.7298,6.10394,50050,2881,5
2016,37,6.2137946241,5.77304,6.14689,49889,3092,8
2016,38,6.0666225458,5.82843,6.20197,49863,3016,9
2016,39,5.9649192665,5.89507,6.26832,50227,2985,11
2016,40,5.9172749392,5.97192,6.34486,51375,3022,18
2016,41,6.1466991726,6.05778,6.43043,52093,3191,11
2016,42,6.1909207609,6.15133,6.52368,51414,3176,7
2016,43,6.0717731044,6.25114,6.62319,51830,3130,17
2016,44,6.0223493929,6.35569,6.72743,51724,3099,16
2016,45,6.1460813256,6.46339,6.83482,52505,3208,19
2016,46,5.9856255147,6.5726,6.94373,53428,3191,7
2016,47,6.1700045174,6.68169,7.05251,53128,3256,22
2016,48,6.5021435638,6.78899,7.15951,54582,3515,34
2016,49,6.6178204175,6.8929,7.26311,55139,3616,33
2016,50,6.8339733857,6.99185,7.36175,55985,3780,46
2016,51,6.7524682652,7.08435,7.45394,56720,3738,92
2016,52,7.3987917506,7.16899,7.53828,57604,4105,157
2017,1,8.110369292,7.24451,7.61348,59763,4558,289
2017,2,7.9911446376,7.30975,7.67842,60980,4505,368
2017,3,8.4225793939,7.36373,7.73208,59293,4621,373
2017,4,8.2588247455,7.4056,7.77364,58047,4427,367
2017,5,8.2198110624,7.43471,7.80244,58432,4452,351
2017,6,8.2421491243,7.45061,7.81802,59038,4447,419
2017,7,8.4885172455,7.453,7.8201,58479,4419,545
2017,8,8.5334888828,7.44181,7.80859,58288,4369,605
2017,9,8.3729216152,7.41716,7.78362,57256,4260,534
2017,10,8.1684847852,7.37935,7.7455,57477,4223,472
2017,11,7.9003106467,7.32888,7.69472,56656,4100,376
2017,12,7.7307388903,7.26645,7.63197,57045,4091,319
2017,13,7.5758935784,7.1929,7.5581,55703,3887,333
2017,14,7.4093546048,7.10925,7.47413,55160,3821,266
2017,15,7.2601666029,7.01665,7.38121,54861,3775,208
2017,16,6.8795929904,6.91639,7.28063,53070,3489,162
2017,17,6.6572849235,6.80987,7.17379,53295,3458,90
2017,18,6.4018079268,6.69857,7.06216,52657,3308,63
2017,19,6.2825815139,6.58403,6.9473,51985,3216,50
2017,20,6.2004573171,6.46786,6.8308,52480,3201,53
2017,21,6.111198305,6.35165,6.71427,50972,3091,24
2017,22,5.9349149368,6.23702,6.59932,51256,3019,23
2017,23,6.1145902213,6.12557,6.48754,51418,3127,17
2017,24,6.0790991594,6.01881,6.38045,50797,3069,19
2017,25,5.8540873132,5.91823,6.27954,51195,2982,15
2017,26,5.8557401663,5.82518,6.18616,50617,2954,10
2017,27,5.5750701544,5.74093,6.10159,50959,2823,18
2017,28,6.1052968603,5.66661,6.02694,49973,3047,4
2017,29,5.515989387,5.60321,5.9632,50127,2755,10
2017,30,5.7858271545,5.55155,5.91121,49362,2853,3
2017,31,5.3886237946,5.51227,5.8716,50087,2695,4
2017,32,5.4302605649,5.48586,5.84486,50237,2722,6
2017,33,5.3800936535,5.4726,5.83126,50185,2689,11
2017,34,5.5799018519,5.47257,5.8309,49517,2756,7
2017,35,5.3568618193,5.48569,5.84368,50832,2716,7
2017,36,5.5648182656,5.51165,5.86931,50981,2825,12
2017,37,5.8575463303,5.55,5.90731,51694,3021,7
2017,38,5.7602967012,5.60006,5.95704,51230,2935,16
2017,39,5.6619208071,5.66102,6.01766,51343,2888,19
2017,40,5.8299750528,5.73191,6.08821,52110,3022,16
2017,41,5.8532707744,5.81159,6.16755,51578,3001,18
2017,42,6.0963467872,5.89883,6.25445,52228,3156,28
2017,43,6.2837786405,5.99226,6.34754,52548,3279,23
2017,44,6.0563721381,6.09046,6.44539,53679,3215,36
2017,45,6.0554282925,6.1919,6.54649,53258,3180,45
2017,46,6.2580201224,6.29504,6.64929,53771,3315,50
2017,47,6.0051736881,6.39831,6.75221,54120,3202,48
2017,48,6.5303140979,6.50013,6.85369,54760,3493,83
2017,49,6.558143718,6.59895,6.95217,55595,3528,118
2017,50,6.8398117483,6.69328,7.04615,57370,3759,165
2017,51,7.3035879338,6.78167,7.1342,59505,3987,359
2017,52,8.3303322966,6.86278,7.21496,61090,4418,671
2018,1,9.5563552787,6.93538,7.28721,66134,5155,1165
2018,2,10.547447959,6.99835,7.34983,67495,5583,1536
2018,3,10.885269231,7.05072,7.40186,64647,5411,1626
2018,4,10.568652437,7.09167,7.44246,62780,5187,1448
2018,5,10.228950044,7.12056,7.471,60974,4877,1360
2018,6,9.7070855834,7.13691,7.487,61110,4689,1243
2018,7,9.6656016327,7.14044,7.49018,59779,4599,1179
2018,8,9.2018064471,7.13103,7.48042,57793,4426,892
2018,9,8.4350525647,7.10878,7.45782,56692,4044,738
2018,10,8.0009808558,7.07394,7.42263,57093,4061,507
2018,11,7.6288037496,7.02698,7.37531,56326,3853,444
2018,12,7.4184987268,6.96851,7.31649,55766,3792,345
2018,13,7.3983029244,6.89932,7.24695,54918,3779,284
2018,14,7.2304409158,6.82036,7.16765,55294,3698,300
2018,15,6.8878105309,6.73272,7.07965,55228,3590,214
2018,16,6.6286687146,6.63759,6.98417,54038,3429,153
2018,17,6.5386118711,6.53629,6.88252,53727,3394,119
2018,18,6.1480061778,6.43022,6.77609,53741,3198,106
2018,19,5.9207369734,6.32085,6.66637,52105,3032,53
2018,20,5.9227942629,6.20967,6.55484,50618,2955,43
2018,21,5.8453926054,6.09824,6.44305,50929,2951,26
2018,22,5.7419923597,5.98807,6.33253,51045,2905,26
2018,23,5.6191227092,5.88068,6.22479,52001,2908,14
2018,24,5.7388055345,5.77755,6.12129,51387,2935,14
2018,25,5.6265182979,5.68006,6.02345,51044,2865,7
2018,26,5.6572608396,5.58954,5.93258,50855,2868,9
2018,27,5.3769058122,5.50721,5.8499,51684,2769,10
2018,28,5.4423629154,5.43416,5.77649,51191,2781,5
2018,29,5.3607065937,5.37135,5.71332,50609,2705,8
2018,30,5.3884711779,5.31958,5.6612,50274,2697,12
2018,31,5.2629500168,5.2795,5.62076,50637,2661,4
2018,32,5.2641905547,5.25158,5.59249,50967,2673,10
2018,33,5.2126200274,5.23613,5.57668,50301,2617,5
2018,34,5.3964604927,5.23325,5.57345,50459,2713,10
2018,35,5.2083539152,5.24289,5.58274,50611,2630,6
2018,36,5.4772460685,5.2648,5.60429,50299,2749,6
2018,37,5.4205900202,5.29854,5.63768,51083,2761,8
2018,38,5.486409988,5.34354,5.68232,51582,2819,11
2018,39,5.5475970879,5.40469,5.74347,50959,2813,14
2018,40,5.689783601,5.47557,5.81435,52357,2969,10
2018,41,5.5507338618,5.55517,5.89395,51849,2866,12
2018,42,5.6682836596,5.64235,5.98113,52979,2985,18
2018,43,5.7437270986,5.73586,6.07464,53763,3064,24
2018,44,5.6433871509,5.83435,6.17313,53638,3002,25
2018,45,5.6944418513,5.9364,6.27518,53561,3020,30
2018,46,5.7918022597,6.04055,6.37933,54698,3142,26
2018,47,5.8509280531,6.1453,6.48408,54846,3178,31
2018,48,6.0388666909,6.24915,6.58793,55060,3287,38
2018,49,6.1714939161,6.3506,6.68938,55967,3398,56
2018,50,6.3879972334,6.44819,6.78697,56387,3551,51
2018,51,6.3296065667,6.54053,6.87931,56528,3490,88
2018,52,6.7379430978,6.62628,6.96506,56026,3635,140
2019,1,7.0753582351,6.70421,7.04299,58202,3908,210
2019,2,7.377485034,6.77321,7.11199,58299,4043,258
2019,3,7.447595137,6.83228,7.17106,58153,4084,247
2019,4,7.1968844656,6.88059,7.21937,57775,3884,274
2019,5,7.2509946436,6.91745,7.25623,58061,3883,327
2019,6,7.2785460022,6.94232,7.2811,58432,3889,364
2019,7,7.5367678828,6.95486,7.29364,57863,3883,478
2019,8,7.6736783836,6.95491,7.29369,57808,3964,472
2019,9,7.3634163209,6.94247,7.28125,57840,3744,515
2019,10,7.3127677806,6.91773,7.25651,58350,3726,541
2019,11,7.7385906506,6.88106,7.21984,57672,3958,505
2019,12,7.4779801383,6.833,7.17178,56994,3784,478
2019,13,7.3684769337,6.77426,7.11304,56511,3705,459
2019,14,7.0083774641,6.70571,7.04449,56461,3619,338
2019,15,6.7616172935,6.62834,6.96712,55327,3438,303
2019,16,6.6340152087,6.54329,6.88207,54311,3402,201
2019,17,6.3727140132,6.45179,6.79058,53478,3253,155
2019,18,6.1285167429,6.3552,6.69398,53814,3201,97
2019,19,6.1478102532,6.2549,6.59368,53271,3206,69
2019,20,5.9545480136,6.15238,6.49116,53287,3124,49
2019,21,5.8948118159,6.04912,6.3879,53352,3115,30
2019,22,5.9636266483,5.94663,6.28541,52401,3097,28
2019,23,5.7449638921,5.84641,6.18519,52620,3002,21
2019,24,5.5732179109,5.74991,6.08869,52214,2894,16
2019,25,5.6465143188,5.65855,5.99733,51855,2915,13
2019,26,5.5556631359,5.57366,5.91244,51641,2854,15
2019,27,5.4431317503,5.49648,5.83526,51294,2779,13
2019,28,5.3013898185,5.42814,5.76692,50798,2683,10
2019,29,5.1866233457,5.36965,5.70843,50476,2612,6
2019,30,5.3282360671,5.32184,5.66062,50223,2669,7
2019,31,5.2762408788,5.28544,5.62423,49884,2626,6
2019,32,5.102758302,5.26098,5.59976,49777,2533,7
2019,33,5.0545711084,5.24883,5.58761,48194,2428,8
2019,34,5.0853331023,5.24916,5.58794,46172,2343,5
2019,35,5.031742827,5.262,5.60078,44577,2231,12
2019,36,4.9514833558,5.28715,5.62593,43078,2122,11
2019,37,4.7816352266,5.32427,5.66305,38857,1845,13
2019,38,4.9853576907,5.37284,5.71162,28684,1421,9
